Italian,English
e,And
non,not
che,that
di,Of
la,there
il,the
un,a
a,to
per,for
è,is
in,in
una,a
mi,me
sono,I am
ho,I have
l',L'
si,yes
ha,has
ma,but
lo,the
cosa,what
con,with
no,no
le,the
ti,you
se,self
da,from
i,the
come,how
io,I
ci,there
hai,you have
questo,this
bene,well
qui,here
sei,six
del,of the
tu,you
solo,alone
mio,my
al,to the
me,myself
tutto,everything
c',there
te,you
era,was
della,from the
mia,my
fatto,done
fare,Do
essere,to be
so,I know
quando,when
sì,Yup
ora,Now
lei,she
gli,the
ne,neither
oh,Oh
questa,this
detto,said
ok,ok
va,it goes
perche,because
quello,that
mai,never
alla,at the
o,or
anche,also
stato,state
abbiamo,we have
tutti,everyone
dei,of the
grazie,thank you
chi,who
sta,is
molto,very
più,more
voglio,I want
perché,because
tuo,your
beh,well
sia,be
nel,in the
lui,he
allora,At that time
posso,I can
piu,more
ehi,hey
prima,first
tua,your
suo,his
niente,nothing
qualcosa,something
sai,you know
siamo,we are
un',a
cosi,as
davvero,really
ancora,still 
hanno,they have
